,y,z,phi,vy,vz,phi_dot
114,-1.8131212367911745e-09,0.8164199645799227,4.44980306855719e-07,-9.582561469316447e-08,-1.006479107724012e-06,1.682043673851629e-05
115,-3.0251423374063055e-09,0.8164199566544571,7.110390143897342e-07,-1.5092868427091508e-07,-5.78614000889463e-07,3.639130476828659e-05
116,-4.936149492492061e-09,0.8164199525654756,9.948848149945174e-07,-2.3591364164383363e-07,-2.391823011635201e-07,2.0377855352669876e-05
117,-7.826044104502345e-09,0.816419951468935,1.31423521837217e-06,-3.4728667364174343e-07,1.9874156071692796e-08,4.349222532286051e-05
118,-1.2012014071035571e-08,0.8164199526148999,1.7168601016011903e-06,-4.96490249218216e-07,2.093188151627577e-07,3.70327513229433e-05
119,-1.7886062586396603e-08,0.8164199553639079,2.1664093807421904e-06,-6.856695943953857e-07,3.4048276703394915e-07,5.287710450525655e-05
120,-2.5890818333995783e-08,0.8164199591838861,2.682715163734228e-06,-9.237231618211831e-07,4.235128360887241e-07,5.0384052093150625e-05
121,-3.653005069096625e-08,0.8164199636417977,3.2324320025597274e-06,-1.2131111839699536e-06,4.6806944877632e-07,5.9559315671949237e-05
122,-5.0343451419787184e-08,0.8164199683944223,3.820701171927728e-06,-1.559187164123861e-06,4.824554251967358e-07,5.809451820165052e-05
123,-6.790690421060551e-08,0.816419973177232,4.432751617218213e-06,-1.9635104179686257e-06,4.741064618973315e-07,6.431557085644574e-05
124,-8.98199805595361e-08,0.8164199778048291,5.058195638883903e-06,-2.429330859206123e-06,4.514129170615563e-07,6.077323347669189e-05
125,-1.1668935769452512e-07,0.8164199821474523,5.61284229821334e-06,-2.9536130375008575e-06,4.17111699430535e-07,5.015609838919495e-05
126,-1.4906024493105973e-07,0.8164199861122957,6.110167018803297e-06,-3.528695665568194e-06,3.758569717722756e-07,4.930884572879593e-05
127,-1.8741762035851979e-07,0.816419989648057,6.514732919251221e-06,-4.1493940693914216e-06,3.3129526992081613e-07,3.1604334360788735e-05
128,-2.321610908567245e-07,0.8164199927356688,6.859910373414591e-06,-4.804943679032312e-06,2.8622709480959624e-07,3.7431156471885085e-05
129,-2.8363321012859967e-07,0.8164199953801199,7.193830775351602e-06,-5.494939771489873e-06,2.4266303390253734e-07,2.935292391551702e-05
130,-3.4213071464409354e-07,0.816419997603985,7.139252875104931e-06,-6.203668783308703e-06,2.021100273661948e-07,-4.026850396485096e-05
131,-4.076351302280191e-07,0.8164199994411154,7.1251246568840325e-06,-6.896983337195098e-06,1.65316045304989e-07,3.7442860320671106e-05
132,-4.801365312736956e-07,0.8164200009305902,7.199567099413755e-06,-7.60451400546937e-06,1.325789091562394e-07,-2.255437181472659e-05
133,-5.596843140178554e-07,0.8164200021129167,7.073502886141195e-06,-8.302981394078395e-06,1.038863760442516e-07,-2.6584708397855814e-06
134,-6.461887406099847e-07,0.8164200030267441,7.1619881617627565e-06,-8.999350658235077e-06,7.887907799005052e-08,2.035552596409771e-05
135,-7.397209783600561e-07,0.8164200037054697,7.27374505359689e-06,-9.708924116550605e-06,5.686605192093317e-08,1.995852402728955e-06
136,-8.402579276033786e-07,0.8164200041773911,5.78512364205859e-06,-1.0374126776835413e-05,3.7518401818013715e-08,-0.00029972013471038815
137,-9.465598589499473e-07,0.8164200044634116,5.394690704656336e-06,-1.0879875915112188e-05,1.968571442124636e-08,0.00022163354722993763
138,-1.0581589603185984e-06,0.8164200045724005,5.065167813623663e-06,-1.1434556660314704e-05,2.112083420862752e-09,-0.0002875381254364719
139,-1.1746848915024996e-06,0.8164200045033932,4.220673456901407e-06,-1.1856822096270105e-05,-1.591349394272683e-08,0.00011863925409202138
140,-1.2953913875758046e-06,0.8164200042437667,3.866515999299221e-06,-1.2278686645145363e-05,-3.6011803116906937e-08,-0.00018947074561245862
141,-1.4198390534410264e-06,0.8164200037744832,2.8777211402163966e-06,-1.2594679735550944e-05,-5.784484074623216e-08,-8.288226204105576e-06
142,-1.5472028840066243e-06,0.816420003069707,3.0280205981426645e-06,-1.2880543773072772e-05,-8.311040144918205e-08,3.834811778935906e-05
143,-1.6774757451367306e-06,0.8164200020928231,2.426554491970691e-06,-1.3164194485035266e-05,-1.122663493212319e-07,-0.0001586413390237533
144,-1.8100332091586862e-06,0.8164200007979503,6.526561356470066e-07,-1.331829509141257e-05,-1.4670813819611398e-07,-0.00019613833224098255
145,-1.943349659941121e-06,0.8164199991399704,3.311291917626756e-07,-1.3339738101587676e-05,-1.848878617747646e-07,0.00013183294346411648
146,-2.0770223833774258e-06,0.816419997078099,3.9412907127954773e-07,-1.339583663325615e-05,-2.2748645579881667e-07,-0.00011923296756074208
147,-2.2109444678447416e-06,0.8164199945489243,-1.2221307762832728e-06,-1.3362154425400453e-05,-2.783484803682698e-07,-0.00020401900195182106
148,-2.3437217796620037e-06,0.8164199914882766,-2.176164218771337e-06,-1.3177709500081322e-05,-3.3378110720821807e-07,1.3212313454208607e-05
149,-2.474384476674899e-06,0.8164199878642757,-2.883089663067148e-06,-1.2943271678227246e-05,-3.910191110660893e-07,-0.00015459740231337025
150,-2.602291274390058e-06,0.8164199836712362,-2.704265087039261e-06,-1.2641011644936646e-05,-4.475888073162205e-07,0.00019036231751894743
151,-2.7276426645789615e-06,0.8164199789499964,-1.3330841625564313e-06,-1.2451685189745238e-05,-4.966591014311327e-07,8.38738673776177e-05
152,-2.851365432923503e-06,0.8164199737601603,-3.886882562261512e-06,-1.2251113894331942e-05,-5.41308246806155e-07,-0.0005946335473186324
153,-2.971492688548791e-06,0.8164199681806387,-3.779913818567481e-06,-1.1776086169091546e-05,-5.745960581758513e-07,0.0006160272960574381
154,-3.0878838264209865e-06,0.8164199623704766,-4.015737482405631e-06,-1.1498285688948424e-05,-5.874363315450221e-07,-0.0006631920288250677
155,-3.2001457308711223e-06,0.8164199565640974,-6.573209574245287e-06,-1.091228052658166e-05,-5.738397672804587e-07,0.00015169761045713792
156,-3.306243440122107e-06,0.8164199510857523,-5.655141211392913e-06,-1.0322271749305926e-05,-5.218291954028742e-07,3.191606211333648e-05
157,-3.406421018905872e-06,0.8164199463551595,-9.292820698823369e-06,-9.653767888691387e-06,-4.242897761869081e-07,-0.0007594519595994252
158,-3.49769376994754e-06,0.816419942900269,-1.0344060539805117e-05,-8.583594520629315e-06,-2.6668848928928694e-07,0.0005492039914030759
159,-3.578894495051161e-06,0.8164199397956174,-1.0471727911372993e-05,-7.654463140432643e-06,-3.542418275740414e-07,-0.0005747374657166505
160,-3.6497727742352663e-06,0.8164199370229953,-1.1207054007942271e-05,-6.5091700958411e-06,-2.0028272462625534e-07,0.0004276722464027949
161,-3.709714179009177e-06,0.8164199364533357,-1.1241833292345024e-05,-5.478542215979507e-06,8.635077486499173e-08,-0.00043462810328334536
162,-3.7584158882177695e-06,0.8164199410002623,-1.386250070705212e-05,-4.2189513917413285e-06,8.230339626598175e-07,-8.950537965807226e-05
163,-3.7936165398969884e-06,0.8164199532970945,-1.5282403487802794e-05,-2.7979633411697078e-06,1.6363321517975668e-06,-0.00019447517649206177
164,-3.8138575723982506e-06,0.81641997418187,-1.6304143036231034e-05,-1.2335375634744394e-06,2.5406226705699974e-06,-9.872733193586071e-06
165,-3.818083366679636e-06,0.8164200046055435,-1.7579314655550126e-05,4.0922797644326466e-07,3.5441117069133188e-06,-0.00024516159067023276
166,-3.8051419469246374e-06,0.8164200456148893,-1.7896942729925583e-05,2.184249252526587e-06,4.6577573153456275e-06,0.0001816359757951416
167,-3.774622263309718e-06,0.8164200981877368,-1.847335902127571e-05,3.929111992013194e-06,5.856812007472102e-06,-0.0002969192340651666
168,-3.7259840045690164e-06,0.8164201567692213,-1.9002098972029843e-05,5.807184654557391e-06,5.859484752257712e-06,0.00019117124391433937
169,-3.658694274236076e-06,0.816420231168899,-1.965457266580296e-05,7.661429700664902e-06,9.020450541709933e-06,-0.0003216659826689627
170,-3.5720766418485923e-06,0.81642033363384,-2.0872377081748634e-05,9.682008376726248e-06,1.1472537283146028e-05,7.8105099479829e-05
171,-3.4650640798919036e-06,0.8164204623190239,-2.109424955577142e-05,1.1724131732805006e-05,1.4264499408456398e-05,-0.00012247959428438542
172,-3.3372736629836845e-06,0.816420616459218,-2.234190562428702e-05,1.3854351303627313e-05,1.6563538977979364e-05,-0.0001270516194187318
173,-3.187603114929566e-06,0.8164207899048799,-2.312830849241156e-05,1.609261619882404e-05,1.8125593110752948e-05,-3.0228954206175787e-05
174,-3.0151874707341006e-06,0.8164209736263507,-2.459958637581492e-05,1.8414568154578818e-05,1.8618700481906e-05,-0.00026402662247449626
175,-2.8186578004630505e-06,0.8164211548820581,-2.5849425476814282e-05,2.0911800563488192e-05,1.763244049098602e-05,1.4058802274625307e-05
176,-2.596831743444786e-06,0.8164213199564498,-2.6347195888054394e-05,2.3461549199724243e-05,1.5382437619015833e-05,-0.00011361288452264757
177,-2.34904600222342e-06,0.8164214575803177,-2.8237178927776916e-05,2.6126499246625035e-05,1.2142335088727436e-05,-0.0002643837234218554
178,-2.07357499339239e-06,0.8164215591127807,-2.9951215776651062e-05,2.899572588560253e-05,8.164156670357421e-06,-7.842364635297377e-05
179,-1.7687900077951888e-06,0.8164216101206908,-3.084993351465034e-05,3.1975964351153414e-05,2.037424911102361e-06,-0.00010131990124688194
180,-1.4337619333494903e-06,0.8164215920790129,-3.152155965749095e-05,3.504063076538342e-05,-5.645760860814552e-06,-3.3005327321239266e-05
181,-1.0677147394628918e-06,0.8164214883907492,-3.340639854951506e-05,3.819962216041434e-05,-1.5091892875085198e-05,-0.0003439624510835795
182,-6.688916016282666e-07,0.8164212831112057,-3.538503480568528e-05,4.159735252396914e-05,-2.5964016956372166e-05,-5.176480015046605e-05
183,-2.3544344094927203e-07,0.8164209502561227,-3.6346097702331306e-05,4.510799064471833e-05,-4.060700019162045e-05,-0.00014044777917874123
184,2.3363459766478532e-07,0.8164204581575198,-3.706429238547122e-05,4.8719357501652724e-05,-5.781272081736479e-05,-3.191157449239226e-06
185,7.390361120259112e-07,0.8164197798649548,-3.741920572803795e-05,5.2366747018722365e-05,-7.784579238822068e-05,-6.779151106410738e-05
186,1.2812617745354012e-06,0.8164188878301617,-3.929016045002362e-05,5.610896850963997e-05,-0.00010056116741991876,-0.00030639943333302675
187,1.8619056311222913e-06,0.8164177507509233,-3.9744089581131566e-05,6.002722255979946e-05,-0.00012685468055883973,0.00021561360711143607
188,2.4815927874940687e-06,0.8164163406283208,-4.099576428966052e-05,6.39306676891449e-05,-0.00015516984077420775,-0.0004659485488172268
189,3.1414952345044015e-06,0.8164146395289908,-4.237447916604523e-05,6.807235683510774e-05,-0.00018505002617167908,0.00019020557354028348
190,3.8428016622628176e-06,0.8164126349770022,-4.188685747434541e-05,7.21809586058813e-05,-0.0002158603711948569,-9.268123520032223e-05
191,4.5854769375259076e-06,0.8164103281220187,-4.495385627417416e-05,7.640422672089623e-05,-0.00024551062768424323,-0.0005207185247654237
192,5.371974865537805e-06,0.8164077345360045,-4.4788088013047e-05,8.0892649335598e-05,-0.00027320657504476464,0.0005538721769908547
193,6.202517841194676e-06,0.8164048968969398,-4.607700875273721e-05,8.523701511401465e-05,-0.0002943212388227049,-0.0008116563249288983
194,7.078246850216723e-06,0.8164018877312863,-4.727208288183988e-05,8.99283235251042e-05,-0.00030751189281278535,0.000572641499108363
195,8.000025342147692e-06,0.8163988027794544,-4.454285230947361e-05,9.438275283577219e-05,-0.0003094784715123705,-2.679538463510889e-05
196,8.965932479882465e-06,0.8163957853911495,-4.706213875343051e-05,9.883987154399685e-05,-0.00029399919131394367,-0.0004770619041562714
